id	filename	md5	size	state
a1bacdbd-60f6-472f-b4a8-bcfec0250279	4722ba18-27f6-480d-975b-59742f9f0f89.htseq.counts.gz	e6835e5ac38301afd8c7b9c63c83ca59	264266	released
4958b9d4-59fa-49e4-a849-1b777452f6d2	3e00e8aa-31bc-454e-b558-7bcbad5f47ad.htseq.counts.gz	cc4ce6613fe041289cf07b382af34e5a	256540	released
86e97a45-76bb-4c76-8799-d705242c29d5	0991973f-cd4d-4fcc-bf95-ee735422abb6.htseq.counts.gz	159d7478ab18ccb3ccfbb0d65f0f4f36	255080	released
65bad43d-4b38-439b-a126-19cb19a6671b	e8bd5099-de91-4c44-8573-f5eaba611dfe.htseq.counts.gz	ff92873a43df5a8c0524a2c3df748621	253798	released
fb02a814-f9e0-42ee-b3a1-7d9beee939be	d0744791-f4c0-45c7-b233-c6512f3c766b.htseq.counts.gz	0ced8332e3592cac1c1a249136ab19e7	258846	released
238992db-6a59-4110-aebe-e8083109554a	9d80d1a6-3a9c-42ca-8139-c88659088638.htseq.counts.gz	dbb7c07d5e6064ea0172033ae7af49ee	262123	released
b02459dd-1f1d-4a66-a5d0-e8fd2d0dbc68	5327762f-5add-4008-ac5f-beca30ee5b4d.htseq.counts.gz	b22976ca2e31bdf1f0ccd7a72df0efe0	256176	released
b18de6ad-4e03-4cdf-98c4-c469f1c646b2	f920e615-9b0a-4767-821b-201c407730c4.htseq.counts.gz	78e81d9e41df89457f12b5e25dc3ec84	258548	released
60853163-f939-4a8c-b300-e0d3c24b2eb7	40b41560-b08b-47a7-8149-b73c9d00d25c.htseq.counts.gz	3216d429dc5c798bc42311fed659900b	251376	released
b4533fab-5f7b-417a-8455-99fcb6f277b1	fed23e32-490a-4849-b335-d6cc8f0187fa.htseq.counts.gz	ad5d687f3f84e319fae277a95ce42bf2	254007	released
5523cb49-46a9-48f0-9fe3-90d34d2fac3e	7b6e2a12-c537-4f1f-911f-d430bd864d2d.htseq.counts.gz	1c17cd6cf4a55387a5f47ea026829b88	257326	released
7525f3b0-b416-49d5-b839-40eaee3a42e4	0045a228-1dad-4ced-9bc6-5067aeee0518.htseq.counts.gz	b1c0b2e62b56d5e1d0a173ccf9e0a095	259515	released
69984aa4-8e6b-4f1c-9e6e-af774a4cbfd3	871da002-8649-42bc-8ce4-9d2a8ff66213.htseq.counts.gz	0e9679ae82b61ed015158b72115d0a9e	258298	released
bed9afc1-0329-499f-a159-fb7bc0c61b55	60da3a1a-65ee-48fa-a08f-88b6d52a18c2.htseq.counts.gz	220961a3168c58ec50159319cc72de8e	263081	released
4809258e-9835-49f4-92c1-09f97fcecebd	bd727430-2539-4897-a754-2c8d8de59f9e.htseq.counts.gz	467dfc45aac6931fee39080bd503387b	263117	released
eaf9ae41-e243-4c70-a59d-8303f2d42c38	1865f7a2-31da-4e7a-8cd5-a4c15372ffaf.htseq.counts.gz	10e8eb1c1c3a7ba863a5919555bfdbc7	257280	released
70603898-1188-4ee8-9b85-2cb1bdc23fe7	86cb28d4-5dcd-4e7e-a4c9-c5a5b16a9739.htseq.counts.gz	39a544f01cd9b17d9386add10f2ff57d	261383	released
27e07fa1-44f5-4956-9518-a61b29ee93b1	eb329194-22d5-4675-a982-0c2dd8e5a324.htseq.counts.gz	9040ad02c8c9b97a6767c58afdf6e770	255769	released
1d534ab0-4e5f-4463-b2b5-96ae2e4b9ce1	f76c1066-d6e9-4d27-a0ac-0a493d8e85f4.htseq.counts.gz	9e943b3119d92b2977f59e696025e428	257627	released
1c841b7f-f124-4882-b91d-f26e041ad944	74318679-8eae-42ee-8721-fd38de88938a.htseq.counts.gz	55cdd9a99100b30d59b6a527a00f6b7d	257251	released
65eb41ea-b829-49d4-8c68-5db21c758755	8eb0f5ac-1196-4cc5-b25b-f9e76301772e.htseq.counts.gz	5a21d297a5adf2cace8c6daa266c047d	258833	released
8d0f8abc-c04b-4962-b2f9-1c40d1c4c713	64430665-49d5-49d4-9ef8-7559cbfcabf8.htseq.counts.gz	78ecd3adbf5edc706b3a6032923d6564	255118	released
6ca72b27-692e-44da-a045-e9d47319f46d	5d0bb715-68ef-4688-9d58-0f18478e6a5c.htseq.counts.gz	6b69a8d841662efff908d11a365c2508	244287	released
1560ba5a-c252-43aa-a5e3-cac2764469cc	b4760c72-6405-4b0c-b13b-dbef127b7ffb.htseq.counts.gz	28049ccec9945624f3fb47c1a76dc59d	257351	released
d952565a-b10c-460e-ae19-099da5f3ce0c	41c1021b-1086-470b-9907-afe11444ed3f.htseq.counts.gz	00a97d61cea1b687feb20727c948458e	258710	released
fc5e0141-13d5-4e22-8d0e-06807da55fb5	01770ca7-0c13-4078-b956-a35dc68fbe28.htseq.counts.gz	0c67e455573e0bea2c4a4ac88b044add	252179	released
d1eb06e4-aea6-474f-9e01-52bb9fe7ff27	a085cea5-b7ca-449c-b218-07c7715ca736.htseq.counts.gz	c2b6e3b14f57f8ecdb4e4ca4004d4302	262193	released
4cdb5722-3759-4337-9f8c-f0ad35542157	1db081ff-e475-412c-9f55-fc5face40558.htseq.counts.gz	5832eac2964601848154a04060376a17	261167	released
5844b51c-a8d9-4d2e-9b95-74d71e089291	7024891a-6a74-45d1-813d-7199707c45c5.htseq.counts.gz	004f5a7e2ba5446a4487289160828fe4	259680	released
2bb52f35-936f-4ade-a288-0c85101314b3	d143ba0b-3878-428d-9432-2a179a9abf8c.htseq.counts.gz	e46dc7b05e47896db99359346af20d5b	252041	released
972bc42b-75ee-4707-8b48-f37d10c5043c	f10f8b8e-c6e7-46e1-a97d-08f90c76b539.htseq.counts.gz	04a98a5351dd2b08479fb111bb2164f5	259204	released
43a5f50f-5e71-4e6f-b0b6-9a20b754ecb5	c9e12ef8-5bf6-496d-8c8a-e0596c2f1d7c.htseq.counts.gz	484229087e8c3c95830766c4918a8e9e	257913	released
ed125963-e1e8-4ce4-b73d-1e49a3a2c9fa	2ad2adf3-212d-42e5-87df-a4025e900584.htseq.counts.gz	a7c47e1191abe43a5445ad8e9dadb0d9	264453	released
75551f95-070b-4a63-b45e-f906f612b8fb	9d904376-a13a-4827-a3f5-3772f579e5dd.htseq.counts.gz	5dfb6e6eadb54c7e0a896880ee7663a8	260853	released
b57b0e7e-36bc-4aa3-9ddb-356adf541747	1fbaa35c-4ff8-49e4-8aed-4a20b408f840.htseq.counts.gz	743fdb38506e2c87663d118e4c520c98	258222	released
8fb9e8df-469b-4340-8cfe-81715cabc493	9f223240-1020-4450-a6ec-a6168a9211e5.htseq.counts.gz	75e0c1353f1db60d3352ca2f050cd8f6	263200	released
964aae89-2112-4793-bc60-b31dc21ab70d	211b9b7e-5a5b-4da7-b75c-4a0a738cdaed.htseq.counts.gz	cbfd89246af64145ded4d7bf3657c225	258551	released
2d721dd7-07cc-4b25-ba34-7a4ec0968f16	d0e4aa5d-e918-4156-99ba-14b14a2a9975.htseq.counts.gz	000b03d6f85b26df77edfef649f73df7	256648	released
ebffd3cf-6699-487a-a3cb-cd31221b2a5d	995b85f1-d46f-4989-a4a0-2a73b5df69bf.htseq.counts.gz	5c797cb7ac950168ebcc1396cf4dbac4	253482	released
2443c89f-0c03-4194-9c2d-e98e79191ae0	effcab37-0ee4-422d-9d51-5cdbb78d2db9.htseq.counts.gz	1b50d91c31472d6d6079deb1bc9577a5	259133	released
998315d3-a800-463d-a25f-23679485642c	5cf0bf40-6b9a-4bcb-a88f-7256a298c5ef.htseq.counts.gz	72fcac51cb023cc14635659e5b2fc263	256231	released
8bc92137-5cc8-4b7e-9882-91300a662648	701b8c71-6c05-4e5b-ac10-396d245d62ea.htseq.counts.gz	cd77bb6187f1abfc331d524c40d5b0ff	251301	released
d6123f3e-38e2-4da4-8739-883c46108eff	a26fe084-f208-423b-ab61-6d34598c9cad.htseq.counts.gz	13f641e7f04e0c9fff435de1b8c0ba6b	258510	released
85fbab0e-e8d3-4471-aa33-31d5833ec240	e9841cd8-c4a9-49ac-9d53-6b808d82ca8a.htseq.counts.gz	77b2a8775c0d58bd206f6e9809abc8a3	265414	released
28b17bd0-672a-4a73-a821-1b5ed7b79fcc	de855db4-12d8-47bc-855b-96f61d306541.htseq.counts.gz	d88a375525a77eb8d67dfceadff98eb4	250921	released
5d4f90e8-24df-4db3-a3b7-1c4972d36459	678a3fad-2c4a-450f-ae1e-8258fc8a618a.htseq.counts.gz	ed4347b0ab91bcd49fac139ad926c32b	256913	released
995f39e1-207a-4ae2-b044-27a708c61a2f	24a15ca8-0811-4131-baa1-94f904973ecd.htseq.counts.gz	ff27c1895b2c16e8136e99bf4b9e0b3d	259364	released
9550d42d-da72-4868-af21-092068d6fc6d	660a745a-f0a2-4439-b3f3-51a60132b97d.htseq.counts.gz	7ad6d845a11b2db606eb7b9d8e42f3e0	266538	released
63b9e55c-6ece-4c96-b22e-8f439197b1be	75fdcd7e-f701-4c93-b3cc-22ff09b770ad.htseq.counts.gz	833925c900a793ac525bf2b62583a041	260312	released
b7c1da28-59e1-4867-b5af-93ad1f8f72a0	ab8603dd-2f94-4c83-9927-455958be0007.htseq.counts.gz	4b5a4698c099a7156d78e6fca29cd208	249380	released
39aa4fef-1f7e-4855-87a3-c000f744d45c	1d6a0834-0561-4d45-813d-1ea499b613c0.htseq.counts.gz	7827ec0d7d5c46f3d208d91651c0a0ec	259566	released
2fcc3c22-92d9-4844-aa02-d50d8f273b1e	16e1bba3-6db0-429c-bfc8-82f27c8a3252.htseq.counts.gz	a9f4a90266466990ec96618e664ba5f1	256505	released
6726428c-c4ac-4228-8a46-83a4aafc0685	1902f5f0-8474-4f4c-a17b-f813fe02ca58.htseq.counts.gz	03ea1b356f861ff4ae958cda921b28cb	258534	released
37947dd8-72b2-493a-bc4b-d45699c04389	f27920c4-1504-45ef-8933-65f42ec9ab98.htseq.counts.gz	09a7b48f0237e27361117581249c5659	261097	released
