segsize1	segsize2	segsize3	segsize4	segsize5	segsize6	segsize7	segsize8	segsize9	segsize10	segsize11	segsize12	segsize13	segsize14	segsize15	segsize16	segsize17	segsize18	segsize19	segsize20	segsize21	segsize22	changepoint1	changepoint2	changepoint3	changepoint4	changepoint5	changepoint6	changepoint7	changepoint8	changepoint9	changepoint10	bp10MB1	bp10MB2	bp10MB3	bpchrarm1	bpchrarm2	bpchrarm3	bpchrarm4	bpchrarm5	osCN1	osCN2	osCN3
IM_100	0.00609300069656342	1.42248308546235	3.94272022090898	13.8724343654992	31.1036982220783	51.6345066074261	53.2269478593416	26.1743347242092	14.6438938324172	21.3096092698355	29.9802348715548	23.8079561969329	15.9727926629457	12.435057081692	6.84895578578394	3.62873461693522	5.89778911861627	2.51482365034665	0.569606501998271	1.9072389033249e-09	0.00544682388593366	0.00188149952611274	2.72100425334492	24.9369015380673	161.967836538684	89.3619922002744	26.2978366244744	4.03708466620905	5.14065212638328	3.14388942841977	1.10911572915726	0.283686894986021	98.2001844522552	154.636201228478	47.1636143192667	5.19962245263194	6.44912208005715	23.6781584111304	8.67307817958385	1.88765966882417e-05	93.7840258333234	38.7411864931717	3.47478767350489
IM_101	0.00609118183114669	1.68666191528842	10.6321396431123	19.3229277827399	18.0427971515793	23.4418707402474	22.3588066250804	8.67454026308191	7.25549678768125	10.8825396474937	16.6493560469754	13.6745949229348	6.94140854246047	7.9798433558522	4.99824082966838	3.10011360830671	4.91945425760346	3.27825287510877	1.16254158521922	0.800770756986441	0.184491429639659	0.00706005110887765	20.8215154880672	63.9061382864549	61.5948577983963	30.7248165420342	8.68048326365203	0.0312771009431759	0.00131970447293121	0.113526745802672	0.0861562100665191	0.0399088601100166	132.902500334243	138.69305585308	28.4044438126772	6.55456587583785	14.5896001260943	19.6592080941718	3.19662547116994	4.32726068519398e-07	112.337206529025	28.7765859891303	0.886207481845053
IM_102	0.00609118176452628	0.818555000393289	0.204278604593914	2.06049266449638	2.5456423393981	4.81783418830481	4.48893648184356	3.2599554246591	2.55546333375424	3.43654888569042	3.63273155018641	3.35689333256714	1.95835011099887	6.18799462063806	4.18486896608329	2.08848998738423	1.36763349664562	2.45704681034417	2.40523977562249	1.62273038508471	3.30678774946329	4.2374351100834	1.59653984627408	8.84903587416004	11.0140548301661	17.8644119128273	13.0863126403328	4.4827855535046	1.15041205822848	0.712314789755434	1.29670241016749	0.947430084583619	196.400355749533	98.033766929778	5.56587732068885	22.4681072293356	18.2808965770799	3.22216960649922	0.0288265870630867	2.22071792022921e-11	15.8695713293982	4.10986858174369	0.0205600888581552
IM_104	0.00609118179117444	1.14418092156016	1.68559923289774	3.54788713327849	5.73119393494375	10.2709747662915	8.86838294005883	4.5488025493303	2.73843003286796	3.7894093259541	2.66667237485118	3.14043823602612	3.86191763571593	2.48707339932171e-05	3.88075230201133	0.105808150699925	2.79076779129096	1.98001726649748	2.98601256056956	1.76513385748308	2.91741907503849	7.57408386010798	0.801266983541698	4.24371967502956	8.31593847432413	18.3026973123904	33.4773567091038	5.5340972136701	1.56864619070965	1.20229258385146	1.12817424074182	1.42581061663734	197.877049039433	93.1670735275008	8.95587743306588	23.3177986255835	14.5760952328376	6.01898812667521	0.0871180147588081	1.44884466897196e-10	11.9755776554109	5.98546724427806	0.0389551003110858
IM_107	1.81897200938194e-06	1.12191894488676	19.8711199961358	80.3643243460167	111.494651922646	114.935596979761	118.889001246061	70.0037061238457	35.8596594151037	41.7411977886677	31.4760183101642	25.0343312498743	13.7523468293081	7.40713212359111	6.58218098444443	1.37209985360745	0.0946136616586569	1.50332704723312e-08	4.44188979803376e-07	9.88690396564098e-44	1.28534613592178e-07	9.78174999735215e-05	0.814020749146249	4.47688200834801	98.2480864232186	169.234084021923	200.196487073686	97.5529399797302	52.080632447328	35.5754699536695	16.2775730604488	5.54382428250182	47.9925733300359	132.415382847478	119.592043822487	5.19414891101358	1.80431145084842	11.4204024007281	18.8666527434413	6.71448449396863	333.176405734196	115.431838124181	3.3917561416233
IM_108	1.8189586853049e-06	0.984979288278194	19.2999411923633	50.4354872280435	41.4071399948186	37.1159931361397	34.838944196621	14.1343419796416	8.60416169650887	7.47453174946036	9.35192521732104	8.88196746696019	6.38074619316764	3.02180323597903	10.3721234647097	6.42948534219622	10.3496343271601	1.78543961872573	2.75685612305113	1.00714956901291	1.32116585444218	1.04618130644022	2.41641240121577	9.18425909176378	91.8993591021788	94.9842844227378	48.2964591222542	8.45225895610728	5.27379739908147	5.31257894131269	3.88791388904493	7.2926766743033	149.884481888251	107.125391679932	42.9901264318173	7.98072362237214	12.3239732005785	16.2132472983947	6.80098559150695	0.681070287147699	84.9959674352185	45.0525958305746	1.95143673420693
IM_11	0.00609300069656342	1.40999574074453	3.3573322213376	20.764470643933	16.5518554142972	12.0948097135785	7.72083586671394	6.07822373066826	1.71903695736651	6.78603696673598	7.51120029015321	6.73414440155348	7.50125850480596	4.80154609338616	6.32034527433322	5.82917431023732	8.68082146859641	5.06521732780272	3.11498702956551	3.81351393947091	3.74268644297855	1.39641466104451	3.13884731080018	4.23420748150786	43.5439027678627	42.1880791438012	26.1578813607173	7.64156482353884	1.73032021267369	2.40638633048227	3.27120788178976	6.68760268682628	169.819857496477	112.734791430381	17.4453510731421	10.9793017622972	20.4671054969524	11.514962940021	1.03862977683204	2.38973235129875e-08	30.6086834512161	14.848922643663	1.54239390512095
IM_110	3.63786407426852e-06	1.16996593524109	10.2776635167648	21.3771569295401	13.7298768745241	10.2908219766279	4.78255953207937	5.78489406307706	3.76446337417316	7.17423095769433	7.87139519412885	6.71348464545259	0.21472853985978	1.98770378225618	6.92784860147714	2.62039302811084	6.00240312963935	1.85328261861274	3.70813513737757	2.31100383026638	4.34382129206441	2.09416340316822	2.21502536110697	4.79096352237446	10.6578547553455	25.7661900875471	42.3520406665301	21.0262599276758	8.0456815949168	6.10982515607898	3.11082155473594	0.925337373688424	179.418369312239	103.355750769709	17.2258799180517	13.3481206167774	18.5132050813261	11.2522988208199	0.886375413086544	6.79900784107435e-08	32.6955836757586	18.0981320434127	0.206284280828661
IM_111	1.81893203713513e-06	0.59052815308658	1.7376204063815	1.09064514011848	4.73986654990731	3.29390277964964	5.09027055739986	1.20485001573804	1.12196191312892	0.287866345404055	0.841330205442265	0.96820818554536	1.99984815660565	0.033069750505445	1.61628524523013	3.91111941785997	2.49495808413453	1.36965587178325	1.76152551738915	3.9927754564814	5.64548419177475	7.20822623750167	1.13861067985875	8.43439888263086	6.81994135108932	3.3156172989884	7.99593182608286	12.156359396991	2.71323549138799	3.59300222678174	1.4969817635277	3.33592108266136	206.737214858028	88.5017265665572	4.76105857541453	27.1832930000748	14.0346812286668	2.78054647142175	0.00147929983662901	2.53610078396326e-14	7.70252170873946	2.29087781742791	0.00660047383263166
IM_112	1.33240805226306e-11	0.162826975211775	2.81636533837116	7.98536495443098	12.8982242772327	14.8228637251749	12.2426940490568	3.52923670294445	4.86493912133618	5.70218192354006	3.85139234011919	2.01446387925561	0.153243606430433	3.91344298723999	1.12404864118545	2.80497262263064	2.3751223955852	3.97608768589889	3.37627925862782	3.66313943761848	3.43145892923286	2.29165114886311	2.54223418700032	9.34492324967187	40.5960002430106	25.783832993438	14.1567482048973	2.84208495513186	1.6360212728196	0.755906785723046	0.266743961855564	0.0755041464517883	182.371759579419	105.066547775036	12.5616926455449	11.8505837008987	23.6215243383144	8.46500634438771	0.062885616354485	4.46661546865669e-11	22.0349571344965	10.9096346487475	0.055408216755939
