"sample","s1","s2","s3","s4","s5","s6","s7"
"2259_p3",0.550751879699248,0.103729719034428,0.301955546761641,0,0.0435628545046828,0,0
"2259_p7",0.436309635375366,0.116408829423723,0.420363615392379,0,0,0.0269179198085324,0
"2259_p13",0.459052198003547,0.1175004763929,0.362630275135222,0,0,0.0608170504683309,0
"2259_p20",0.441315716637289,0.102641047678704,0.421110900694859,0,0.0349323349891474,0,0
"JB126_p7",0.154969041961556,0.104746331451153,0.0748358414880298,0.128030864355247,0,0.349259476907092,0.188158443836923
"JB126_p11",0.157243459069697,0.133278299105413,0.0778172751318294,0.10404838519467,0,0.354726485502974,0.172886095995418
"JB126_p14",0.151491673055279,0.116177597990442,0.058671929795945,0.117580374182394,0,0.393935439672468,0.162142985303473
"JB126_p22",0.143039581057637,0.120927841675769,0.0752184668765662,0.116221165585041,0.0175978281822271,0.356751590310351,0.170243526312408
