,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000248333,1471,1304,1672,2560,1322,3482,588,1217,644,851
ENSG00000272004,9,10,4,43,13,32,3,9,6,4
ENSG00000189339,1137,2213,2338,2772,1100,2858,1228,2514,1242,1070
ENSG00000269737,0,1,0,3,0,0,0,4,1,2
ENSG00000215914,75,44,4,19,61,110,23,18,1,18
ENSG00000008128,98,58,56,210,88,138,41,48,36,22
ENSG00000268575,28,77,43,189,24,153,52,104,32,57
ENSG00000227775,5,6,6,10,7,21,2,6,0,3
ENSG00000215790,124,150,208,219,89,176,76,148,98,69
ENSG00000008130,2301,2318,4341,10008,2202,5790,709,3701,1084,1928
ENSG00000078369,17064,16853,17702,14388,14371,22837,5699,13141,7737,14506
ENSG00000231050,17,5,25,6,11,4,8,16,12,10
ENSG00000169885,7,13,2,69,26,9,21,24,0,2
ENSG00000178821,58,53,78,476,46,253,44,93,33,130
ENSG00000142609,0,9,2,3,0,102,46,64,7,47
ENSG00000233542,0,0,0,1,0,0,3,0,0,0
ENSG00000187730,2,1,0,1,0,7,2,4,1,3
ENSG00000226969,0,2,0,0,2,0,2,2,0,4
ENSG00000067606,806,1020,959,889,866,2227,355,505,401,857
ENSG00000182873,33,33,16,13,31,35,24,35,15,15
ENSG00000162585,1509,1579,2002,2365,1620,2987,752,1106,1014,1430
ENSG00000157933,2026,2307,2155,1894,1878,1688,680,1920,1298,1818
ENSG00000116151,225,417,116,308,211,427,288,311,131,235
ENSG00000272161,0,1,0,0,0,1,2,12,0,5
ENSG00000269896,70,43,9,67,85,32,76,262,39,61
ENSG00000272420,6,14,8,12,10,13,11,23,4,8
ENSG00000157916,3996,4865,3788,5306,3539,8947,1385,4631,2178,3124
ENSG00000157911,1180,1209,1720,1349,1002,2137,552,1052,762,1040
ENSG00000149527,17,346,4,19,15,19,105,4,2,1
ENSG00000229393,0,0,3,0,0,0,0,0,0,0
ENSG00000157881,780,608,648,932,697,1133,327,379,242,498
ENSG00000197921,2,0,0,5,4,0,0,0,2,2
ENSG00000272449,27,26,63,107,39,92,28,25,74,84
ENSG00000238164,56,144,0,17,127,92,0,16,60,31
ENSG00000157873,2750,1902,94,927,2742,1595,95,540,353,260
ENSG00000225931,3,7,0,3,15,1,0,0,7,0
ENSG00000228037,0,5,1,0,0,8,4,0,0,1
ENSG00000157870,2272,3488,707,2304,2191,2609,660,442,721,1020
ENSG00000142606,341,1108,18,24,369,175,176,16,34,70
ENSG00000237058,0,3,0,0,0,0,0,0,1,0
ENSG00000215912,108,42,12,63,66,35,33,52,4,8
ENSG00000142611,2,10,4,4,2,25,14,7,4,3
ENSG00000130762,1671,1074,954,1438,1475,3235,255,475,176,561
ENSG00000272088,0,19,3,3,2,28,6,4,1,2
ENSG00000162591,1559,1461,411,3324,1471,506,957,329,325,961
ENSG00000238260,2,3,2,3,14,11,5,11,1,2
ENSG00000158109,2459,3140,2175,2417,2145,5326,759,1730,751,1260
ENSG00000116213,601,654,1067,1646,621,1863,289,633,381,745
ENSG00000078900,12,51,9,7,10,42,134,52,53,186
ENSG00000227372,756,729,824,447,817,1467,516,742,299,368
ENSG00000235169,44,105,114,11,38,285,47,15,27,47
ENSG00000130764,1715,2664,2349,3594,1659,5583,951,2378,1334,1733
ENSG00000266075,0,3,3,0,0,1,2,0,1,1
ENSG00000272153,0,4,5,0,0,8,4,7,2,2
ENSG00000116198,1144,1110,1026,1713,1091,2587,460,1066,512,600
ENSG00000169598,85,245,333,494,104,425,127,143,100,151
ENSG00000198912,548,753,1017,1066,528,1176,424,813,455,592
ENSG00000236423,2,10,40,13,9,21,9,18,10,15
ENSG00000196581,1444,214,0,1184,569,331,23,0,0,0
ENSG00000131697,574,507,444,652,441,570,307,399,140,387
ENSG00000069424,71,338,53,107,69,671,128,55,29,89
ENSG00000116254,12,3,1,28,4,70,21,1,0,3
ENSG00000116251,9132,13079,22263,9287,6410,15324,11648,12615,9257,16390
ENSG00000226944,20,49,66,41,13,15,6,1,3,7
ENSG00000158286,986,954,1133,307,973,199,246,226,30,16
ENSG00000116237,4429,3668,3350,4808,2708,6978,1002,5669,2544,5648
ENSG00000225077,41,17,17,12,27,57,3,31,1,63
ENSG00000158292,169,1054,151,397,159,1005,233,162,388,525
ENSG00000097021,912,872,793,1505,876,1796,333,823,383,1261
ENSG00000271746,12,11,4,9,5,9,5,6,3,5
ENSG00000069812,158,80,131,4254,176,1252,393,135,750,1503
ENSG00000187017,472,1222,1815,5276,659,3274,1136,374,1866,6242
ENSG00000215788,584,288,268,714,755,315,462,499,43,123
ENSG00000171680,1198,1012,641,1038,1195,836,718,486,324,321
ENSG00000162408,1179,1122,1407,1456,890,2222,457,1465,663,944
ENSG00000173662,3,9,2,5,1,0,6,5,2,0
ENSG00000204859,482,531,466,987,511,844,240,424,179,268
ENSG00000162413,984,242,1823,1057,1312,2473,351,1580,305,790
ENSG00000116273,914,988,1454,1327,616,1622,764,2292,694,1885
ENSG00000041988,335,252,540,616,328,703,183,339,159,292
ENSG00000007923,1911,2251,2826,3450,1513,6010,990,1592,619,917
ENSG00000237436,3,12,6,26,4,19,11,9,4,8
ENSG00000171735,912,1225,1899,1512,559,2393,881,1065,659,1662
ENSG00000237402,0,1,0,2,1,3,3,0,0,1
ENSG00000270171,1,0,0,6,0,17,18,0,2,0
ENSG00000270035,1,4,0,17,0,12,10,1,2,0
ENSG00000269978,4,0,0,54,0,19,21,4,2,1
ENSG00000049245,2625,3499,3065,2720,2221,4867,1632,1697,1305,1862
ENSG00000269925,12,14,8,11,6,20,4,5,8,2
ENSG00000049246,605,1166,511,776,444,891,465,328,99,90
ENSG00000049247,0,0,0,0,0,3,0,0,0,1
ENSG00000049249,3,38,0,0,0,16,21,0,58,5
ENSG00000116288,3161,5212,7728,5745,2562,9691,2318,4801,3524,6410
ENSG00000116285,5697,4600,4624,2129,4956,2653,5244,1904,2222,3463
