,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000230448,0,0,0,0.817,0,2.161,0,0,0,0
ENSG00000162981,161.74,13.547,44.965,920.369,77.984,1601.976,0,1726.157,396.235,214.995
ENSG00000151779,1223.602,1266.655,825.185,960.42,1076.463,996.193,1276.409,572.465,763.041,649.059
ENSG00000079785,2780.06,3171.96,4052.65,3134.648,2242.05,3732.662,2614.851,3809.617,3453.653,2774.55
ENSG00000224194,2.344,1.935,3.331,0.817,0,7.923,1.051,0,0,1.019
ENSG00000231031,0,0,0,0,0,2.161,0,0,0,0
ENSG00000233718,0,11.612,0,4.904,0,2.161,4.206,0,2.102,0
ENSG00000134323,4.688,226.43,95.758,434.846,0,103.005,101.987,33.102,63.061,43.814
ENSG00000197872,512.178,37.738,230.652,272.187,424.736,167.113,72.547,95.411,18.918,2.038
ENSG00000236348,46.881,34.835,31.642,26.974,40.385,37.456,12.617,26.287,34.684,23.435
ENSG00000214842,0,0,0,16.348,0,0.72,0,0.974,0,1.019
ENSG00000163032,0,0.968,0,67.025,0,8.644,0,41.864,1.051,298.547
ENSG00000163029,665.714,1026.678,1324.793,1234.242,700.467,649.722,1047.202,958.002,810.337,751.971
ENSG00000178295,459.437,758.638,658.649,1034.802,380.174,543.116,837.972,556.888,502.388,388.213
ENSG00000170745,85.558,7.741,749.411,165.928,54.311,54.023,18.925,47.705,5.255,93.742
ENSG00000260331,0,2.903,0,0,0,5.042,3.154,6.815,1.051,8.151
ENSG00000240857,262.535,830.245,437.157,699.676,268.767,588.496,606.662,626.012,904.929,731.593
ENSG00000236204,11.72,29.03,1.665,10.626,5.57,9.364,14.72,37.97,11.561,11.208
ENSG00000143867,2.344,10.644,0,22.069,19.496,26.652,3.154,13.63,45.194,21.398
ENSG00000213403,1.172,3.871,9.159,4.904,0,6.483,2.103,4.868,4.204,8.151
ENSG00000228784,44.537,18.385,2.498,4.087,61.273,13.686,15.771,41.864,2.102,2.038
ENSG00000183891,413.727,255.46,308.924,129.963,339.789,86.438,428.974,221.976,130.327,178.313
ENSG00000271991,0,1.935,1.665,5.722,0,0.72,4.206,0.974,0,1.019
ENSG00000118965,743.068,460.602,388.861,367.821,522.217,250.669,434.231,495.552,159.755,311.793
ENSG00000227210,1.172,2.903,4.163,5.722,6.963,3.602,22.08,3.894,1.051,8.151
