gene_conversion$external_gene_name,X,baseMean,Both_Mean,complete_remission_or_response_Mean,progressive_disease_Mean,log2FoldChange,FC,lfcSE,stat,pvalue,padj,chrom,strand,left,right,symbol,name,location
127,EEF1A1P7,ENSG00000268222.1,59.162,59.162,55.359,89.164,-0.69,0.62,0.169667017321993,-4.06832923929051,4.73514433616742e-05,0.021779931576491,NA,NA,NA,NA,NA,NA,NA:NA-NA
128,AC010422.3,ENSG00000269242.1,277.655,277.655,246.243,525.455,-1.092,0.469,0.239537664795789,-4.55949784581152,5.12760828564371e-06,0.00666889661067668,NA,NA,NA,NA,NA,NA,NA:NA-NA
129,SNORA28,ENSG00000272533.1,4.738,4.738,3.843,11.797,-1.467,0.362,0.338561066392438,-4.333303731285,1.46888234922741e-05,0.0125913262649569,NA,NA,NA,NA,NA,NA,NA:NA-NA
130,JMJD1C-AS1,ENSG00000272767.1,71.174,71.174,63.787,129.449,-1.025,0.491,0.216427499444839,-4.73648909427204,2.17452437117652e-06,0.00341735565448604,NA,NA,NA,NA,NA,NA,NA:NA-NA
131,AC083862.1,ENSG00000272941.1,38.17,38.17,40.086,23.056,0.785,1.723,0.204267031292077,3.84186971646543,0.000122100645356194,0.0414889192873836,NA,NA,NA,NA,NA,NA,NA:NA-NA
132,MYHAS,ENSG00000272975.1,3.382,3.382,2.706,8.714,-1.686,0.311,0.430457463908091,-3.91713008620722,8.96093990058808e-05,0.0331352715912236,NA,NA,NA,NA,NA,NA,NA:NA-NA
133,DGKK,ENSG00000274588.1,103.072,103.072,113.346,22.023,2.359,5.131,0.567760121624864,4.15552152009399,3.2454639378005e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
134,H4C13,ENSG00000275126.1,14.424,14.424,11.001,41.427,-1.908,0.266,0.44097866502489,-4.32659093643437,1.51434817052472e-05,0.0126925933217068,NA,NA,NA,NA,NA,NA,NA:NA-NA
135,AL354751.3,ENSG00000275756.1,9.753,9.753,10.711,2.195,2.316,4.978,0.544408243807998,4.25350210179901,2.10452962212607e-05,0.0158753087515458,NA,NA,NA,NA,NA,NA,NA:NA-NA
137,AC011239.2,ENSG00000279526.1,5.96,5.96,5.062,13.049,-1.375,0.386,0.298099352415088,-4.61268417335284,3.97502059674673e-06,0.0057663789172114,NA,NA,NA,NA,NA,NA,NA:NA-NA
139,FP671120.7,ENSG00000280800.1,368.742,368.742,298.066,926.298,-1.636,0.322,0.404457766220209,-4.04426843644472,5.24867553662262e-05,0.0227545166913558,NA,NA,NA,NA,NA,NA,NA:NA-NA
140,FOXCUT,ENSG00000280916.1,13.291,13.291,14.53,3.519,2.054,4.152,0.494201921913272,4.15576330165082,3.24203335002283e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
